Omitted_Annotator,Anonymous_System,Model,Mean_Relevance,Hierarchy_Overall
A1,System A,LDA,0.6411666666666668,1.11375
A1,System B,FLAN-T5-v2,0.6211111111111112,0.9325
A1,System C,FLAN-T5-v3,0.6561111111111111,1.02875
A1,System D,FLAN-T5-v1,0.5861111111111111,0.9875
A1,System E,KeyBERT,1.2063492063492065,1.6
A1,System F,BERTopic,0.6256666666666667,1.15
A1,System G,NMF,0.6506666666666666,1.43375
A1,System H,LLM-QTH,2.1763095238095236,2.3075
A2,System A,LDA,0.9821666666666666,1.27875
A2,System B,FLAN-T5-v2,0.9461111111111111,1.01125
A2,System C,FLAN-T5-v3,1.001111111111111,1.31625
A2,System D,FLAN-T5-v1,0.9905555555555555,1.1325
A2,System E,KeyBERT,1.4750566893424035,1.5875
A2,System F,BERTopic,1.0333333333333332,1.2025
A2,System G,NMF,1.047,1.3675
A2,System H,LLM-QTH,1.961170634920635,2.26375
A3,System A,LDA,1.002,1.53125
A3,System B,FLAN-T5-v2,1.03,1.37625
A3,System C,FLAN-T5-v3,1.0366666666666666,1.67
A3,System D,FLAN-T5-v1,1.0394444444444444,1.53125
A3,System E,KeyBERT,1.3809523809523812,1.6425
A3,System F,BERTopic,1.0425,1.47125
A3,System G,NMF,1.0466666666666666,1.505
A3,System H,LLM-QTH,2.2328174603174604,2.20625
A4,System A,LDA,0.502,1.155
A4,System B,FLAN-T5-v2,0.5077777777777778,0.85875
A4,System C,FLAN-T5-v3,0.5538888888888889,1.195
A4,System D,FLAN-T5-v1,0.5338888888888889,1.02875
A4,System E,KeyBERT,1.151360544217687,1.49
A4,System F,BERTopic,0.556,1.12125
A4,System G,NMF,0.5873333333333334,1.3375
A4,System H,LLM-QTH,2.060952380952381,2.21375
A5,System A,LDA,1.042,1.68625
A5,System B,FLAN-T5-v2,1.0327777777777778,1.38125
A5,System C,FLAN-T5-v3,1.07,1.73
A5,System D,FLAN-T5-v1,1.0455555555555556,1.55
A5,System E,KeyBERT,1.4869614512471656,1.84
A5,System F,BERTopic,1.0858333333333332,1.63
A5,System G,NMF,1.107,1.86125
A5,System H,LLM-QTH,1.9493452380952379,2.00375
