Metric,LLM_QTH_System,Baseline_System,Baseline_Model,N_Paired_Queries,LLM_QTH_Mean,Baseline_Mean,Mean_Difference,Wilcoxon_Statistic,Raw_p,Holm_p,Significant_0.05
Mean_Relevance,System H,System A,LDA,50,2.0761190476190476,0.8338666666666665,1.242252380952381,0.0,1.7763568394002505e-15,1.2434497875801753e-14,True
Mean_Relevance,System H,System B,FLAN-T5-v2,50,2.0761190476190476,0.8275555555555555,1.248563492063492,0.0,7.544976683806673e-10,4.523915560505171e-09,True
Mean_Relevance,System H,System C,FLAN-T5-v3,50,2.0761190476190476,0.8635555555555556,1.212563492063492,0.0,7.544976683806673e-10,4.523915560505171e-09,True
Mean_Relevance,System H,System D,FLAN-T5-v1,50,2.0761190476190476,0.8391111111111109,1.2370079365079365,0.0,7.539859267508618e-10,4.523915560505171e-09,True
Mean_Relevance,System H,System E,KeyBERT,49,2.0708697764820214,1.3401360544217689,0.7307337220602526,40.0,1.2347218795093542e-08,1.2347218795093542e-08,True
Mean_Relevance,System H,System F,BERTopic,50,2.0761190476190476,0.8686666666666665,1.207452380952381,0.0,7.555220876380673e-10,4.523915560505171e-09,True
Mean_Relevance,System H,System G,NMF,50,2.0761190476190476,0.8877333333333333,1.1883857142857144,0.0,7.555220876380673e-10,4.523915560505171e-09,True
NDCG@8,System H,System A,LDA,50,0.8004997921043581,0.36012450385049477,0.4403752882538633,1.0,3.552713678800501e-15,1.7763568394002505e-14,True
NDCG@8,System H,System B,FLAN-T5-v2,50,0.8004997921043581,0.3862778763218617,0.4142219157824965,2.0,5.329070518200751e-15,2.1316282072803006e-14,True
NDCG@8,System H,System C,FLAN-T5-v3,50,0.8004997921043581,0.47502464144032813,0.3254751506640301,65.0,3.134559278805682e-10,6.269118557611364e-10,True
NDCG@8,System H,System D,FLAN-T5-v1,50,0.8004997921043581,0.38952923785802507,0.41097055424633294,8.0,4.440892098500626e-14,1.3322676295501878e-13,True
NDCG@8,System H,System E,KeyBERT,49,0.8009327465150952,0.5934388701159761,0.20749387639911918,86.0,5.10897990579906e-09,5.10897990579906e-09,True
NDCG@8,System H,System F,BERTopic,50,0.8004997921043581,0.33595785303667725,0.464541939067681,0.0,1.7763568394002505e-15,1.2434497875801753e-14,True
NDCG@8,System H,System G,NMF,50,0.8004997921043581,0.4287600700164147,0.3717397220879435,0.0,1.7763568394002505e-15,1.2434497875801753e-14,True
Coherence,System H,System A,LDA,50,2.172,1.084,1.088,0.0,1.0260519390690084e-09,4.829275365186699e-09,True
Coherence,System H,System B,FLAN-T5-v2,50,2.172,0.828,1.344,0.0,6.898964807409571e-10,4.829275365186699e-09,True
Coherence,System H,System C,FLAN-T5-v3,50,2.172,1.3,0.8720000000000003,8.0,1.1571705087920196e-09,4.829275365186699e-09,True
Coherence,System H,System D,FLAN-T5-v1,50,2.172,1.1840000000000002,0.9880000000000002,0.0,7.108014214229111e-10,4.829275365186699e-09,True
Coherence,System H,System E,KeyBERT,50,2.172,1.3960000000000001,0.7760000000000001,0.0,1.4744718624133826e-09,4.829275365186699e-09,True
Coherence,System H,System F,BERTopic,50,2.172,1.136,1.036,0.0,7.202374716838847e-10,4.829275365186699e-09,True
Coherence,System H,System G,NMF,50,2.172,1.3639999999999999,0.8080000000000002,0.0,1.0380492867038005e-09,4.829275365186699e-09,True
Level_Appropriateness,System H,System A,LDA,50,1.9720000000000002,1.26,0.7120000000000001,0.0,1.531760422031545e-09,7.634213274977291e-09,True
Level_Appropriateness,System H,System B,FLAN-T5-v2,50,1.9720000000000002,1.008,0.9640000000000001,0.0,6.420199599655165e-10,4.494139719758615e-09,True
Level_Appropriateness,System H,System C,FLAN-T5-v3,50,1.9720000000000002,1.464,0.508,47.5,4.359831417039732e-08,4.359831417039732e-08,True
Level_Appropriateness,System H,System D,FLAN-T5-v1,50,1.9720000000000002,1.2120000000000002,0.76,4.5,2.971827192561844e-09,8.915481577685531e-09,True
Level_Appropriateness,System H,System E,KeyBERT,50,1.9720000000000002,1.3999999999999997,0.5720000000000001,35.0,2.0229276398616816e-08,4.045855279723363e-08,True
Level_Appropriateness,System H,System F,BERTopic,50,1.9720000000000002,1.232,0.74,10.0,1.2723688791628818e-09,7.634213274977291e-09,True
Level_Appropriateness,System H,System G,NMF,50,1.9720000000000002,1.224,0.7480000000000001,0.0,1.4917493193784592e-09,7.634213274977291e-09,True
Progression,System H,System A,LDA,50,2.292,1.4360000000000002,0.856,0.0,1.0755616551239613e-09,7.1653318194012564e-09,True
Progression,System H,System B,FLAN-T5-v2,50,2.292,1.408,0.8839999999999999,1.5,1.1707667034188658e-09,7.1653318194012564e-09,True
Progression,System H,System C,FLAN-T5-v3,50,2.292,1.4679999999999997,0.8240000000000001,0.0,1.0786144945652843e-09,7.1653318194012564e-09,True
Progression,System H,System D,FLAN-T5-v1,50,2.292,1.3840000000000003,0.9079999999999999,0.0,1.0236188313430367e-09,7.1653318194012564e-09,True
Progression,System H,System E,KeyBERT,50,2.292,1.7719999999999998,0.5199999999999999,23.0,2.098337445304739e-08,2.098337445304739e-08,True
Progression,System H,System F,BERTopic,50,2.292,1.4320000000000002,0.86,0.0,1.0814197513063987e-09,7.1653318194012564e-09,True
Progression,System H,System G,NMF,50,2.292,1.592,0.6999999999999998,1.0,2.40738582577433e-09,7.1653318194012564e-09,True
Non_Redundancy,System H,System A,LDA,50,2.3600000000000003,1.632,0.728,3.5,1.973628840014508e-09,5.920886520043524e-09,True
Non_Redundancy,System H,System B,FLAN-T5-v2,50,2.3600000000000003,1.204,1.156,0.0,7.306143539682679e-10,5.001709515993329e-09,True
Non_Redundancy,System H,System C,FLAN-T5-v3,50,2.3600000000000003,1.3200000000000003,1.04,0.0,7.276359117725586e-10,5.001709515993329e-09,True
Non_Redundancy,System H,System D,FLAN-T5-v1,50,2.3600000000000003,1.204,1.1560000000000001,0.0,7.145299308561898e-10,5.001709515993329e-09,True
Non_Redundancy,System H,System E,KeyBERT,50,2.3600000000000003,1.9600000000000002,0.4,10.5,6.110748643890086e-09,9.572675409147623e-09,True
Non_Redundancy,System H,System F,BERTopic,50,2.3600000000000003,1.46,0.9000000000000001,3.5,9.135943554879993e-10,5.001709515993329e-09,True
Non_Redundancy,System H,System G,NMF,50,2.3600000000000003,1.8240000000000003,0.536,18.0,4.7863377045738116e-09,9.572675409147623e-09,True
Hierarchy_Overall,System H,System A,LDA,50,2.199,1.3530000000000002,0.846,0.0,7.4888563057194e-10,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System B,FLAN-T5-v2,50,2.199,1.112,1.087,0.0,7.416292435364431e-10,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System C,FLAN-T5-v3,50,2.199,1.3880000000000001,0.811,0.0,7.490551399023103e-10,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System D,FLAN-T5-v1,50,2.199,1.246,0.953,0.0,7.416292435364431e-10,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System E,KeyBERT,50,2.199,1.6320000000000001,0.567,0.0,1.0991660252821058e-09,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System F,BERTopic,50,2.199,1.315,0.884,0.0,7.482079377523655e-10,5.1914047047551014e-09,True
Hierarchy_Overall,System H,System G,NMF,50,2.199,1.5010000000000003,0.6980000000000001,0.0,7.482079377523655e-10,5.1914047047551014e-09,True
