source_dataset,subject,coherence_0_3,level_appropriateness_0_3,progression_0_3,non_redundancy_0_3
MMLU,abstract_algebra,2.833333333333333,2.333333333333333,2.6666666666666665,2.0
MMLU,business_ethics,2.6666666666666665,2.444444444444444,2.444444444444444,2.111111111111111
MMLU,college_biology,2.9166666666666665,2.4166666666666665,2.833333333333333,2.4166666666666665
MMLU,college_chemistry,2.833333333333333,2.3333333333333335,2.666666666666667,2.5
MMLU,college_physics,2.5833333333333335,2.6666666666666665,2.833333333333333,2.666666666666667
MMLU,econometrics,2.6666666666666665,2.75,2.75,2.8333333333333335
MMLU,international_law,3.0,2.6666666666666665,3.0,2.6666666666666665
MMLU,philosophy,2.666666666666667,2.5,2.666666666666667,1.8333333333333335
MMLU,world_religions,2.6666666666666665,2.555555555555556,2.6666666666666665,2.3333333333333335
MedMCQA,Biochemistry,2.0,3.0,2.6666666666666665,3.0
MedMCQA,Dental,3.0,2.6666666666666665,2.3333333333333335,3.0
MedMCQA,ENT,2.6666666666666665,2.444444444444444,2.5555555555555554,2.777777777777778
MedMCQA,Forensic Medicine,2.3333333333333335,3.0,3.0,2.6666666666666665
MedMCQA,Gynaecology & Obstetrics,2.6666666666666665,2.6666666666666665,2.3333333333333335,3.0
MedMCQA,Medicine,2.6666666666666665,2.166666666666667,2.6666666666666665,2.6666666666666665
MedMCQA,Microbiology,3.0,2.6666666666666665,2.0,2.0
MedMCQA,Ophthalmology,2.666666666666667,2.166666666666667,2.6666666666666665,2.5
MedMCQA,Orthopaedics,2.5,3.0,2.833333333333333,1.8333333333333335
MedMCQA,Pathology,2.6666666666666665,3.0,3.0,2.0
MedMCQA,Pediatrics,3.0,3.0,2.0,2.3333333333333335
MedMCQA,Pharmacology,2.6666666666666665,2.6666666666666665,2.6666666666666665,2.6666666666666665
MedMCQA,Physiology,2.6666666666666665,2.888888888888889,2.6666666666666665,2.2222222222222223
MedMCQA,Psychiatry,2.6666666666666665,3.0,2.3333333333333335,2.6666666666666665
MedMCQA,Radiology,2.6666666666666665,3.0,2.3333333333333335,2.3333333333333335
MedMCQA,Skin,2.3333333333333335,3.0,2.0,2.6666666666666665
MedMCQA,Social & Preventive Medicine,2.833333333333333,2.5,2.833333333333333,2.166666666666667
