source_dataset,subject,mean,std,count
MMLU,abstract_algebra,2.4518518518518517,0.27236705645704046,2
MMLU,business_ethics,2.2222222222222223,0.08888888888888902,3
MMLU,college_biology,2.5638888888888887,0.18886165380996547,4
MMLU,college_chemistry,2.625,0.1374929852307171,2
MMLU,college_physics,2.289316239316239,0.10979607517372461,4
MMLU,econometrics,2.4922619047619046,0.07952464118945429,4
MMLU,international_law,2.711111111111111,,1
MMLU,philosophy,2.4833333333333334,0.1807050663032288,2
MMLU,world_religions,2.3503237503237506,0.1953511200494178,3
MedMCQA,Biochemistry,2.733333333333333,,1
MedMCQA,Dental,2.6444444444444444,,1
MedMCQA,ENT,2.5423868312757203,0.058552021108913235,3
MedMCQA,Forensic Medicine,2.5098039215686274,,1
MedMCQA,Gynaecology & Obstetrics,2.106666666666667,,1
MedMCQA,Medicine,2.3159722222222223,0.1718662315383973,2
MedMCQA,Microbiology,2.6315789473684212,,1
MedMCQA,Ophthalmology,2.597902097902098,0.011537872886493628,2
MedMCQA,Orthopaedics,2.538562091503268,0.07024851682376149,2
MedMCQA,Pathology,2.5555555555555554,,1
MedMCQA,Pediatrics,2.5370370370370368,,1
MedMCQA,Pharmacology,2.422222222222222,,1
MedMCQA,Physiology,2.5150599128540305,0.22530446571676788,3
MedMCQA,Psychiatry,2.5555555555555554,,1
MedMCQA,Radiology,2.378787878787879,,1
MedMCQA,Skin,2.4499999999999997,,1
MedMCQA,Social & Preventive Medicine,2.3444444444444446,0.3928371006591929,2
